Psys,Ffuel,Porosity,Dparticle,Alpha,Rflat,Tbed,Decay,Fstruct
111170.0,0.6115,0.32725,0.002116,16.89,0.426,1472.5,0.007711,1.41375
242405.0,0.90725,0.399125,0.004266,36.045,1.319,1522.55,0.0068395,1.657875
345950.0,0.9025,0.33275,0.0049,26.61,1.678,546.9,0.004029,1.73225
204185.0,0.81775,0.417875,0.003538,43.33500000000001,1.891,1356.15,0.0090445,0.537875
232265.0,0.75525,0.385625,0.00267,15.105,1.013,438.35,0.0096605,1.495125
238505.0,0.92375,0.449875,0.003046,27.105,1.985,665.85,0.0094295,0.537875
456125.0,0.53225,0.299625,0.002502,26.355,0.423,1036.35,0.0066785,1.327125
121700.0,0.921,0.2605,0.004432,32.1,1.66,527.4,0.003938,0.7995
332690.0,0.5965,0.47975,0.002924,27.99,1.746,874.5,0.004519,0.7452500000000001
443450.0,0.7444999999999999,0.43225,0.001796,34.41,0.654,1300.9,0.005709,1.66225
417710.0,0.6455,0.29325,0.002564,18.33,1.634,1586.9,0.007151,1.77775
229145.0,0.93025,0.349875,0.003758,19.335,1.0950000000000002,1457.5500000000002,0.0030035,1.689375
217835.0,0.64275,0.391375,0.0039539999999999,34.605000000000004,1.839,711.3499999999999,0.0033325,1.5826250000000002
158165.0,0.90275,0.431625,0.002662,44.205,1.955,512.45,0.0081275,1.106625
439550.0,0.7195,0.39975,0.004756,27.51,1.142,544.3,0.003483,0.91325
423170.0,0.5075,0.30225,0.002916,35.010000000000005,1.046,539.1,0.008817,1.44875
453443.75,0.5953125,0.46234375,0.0017175,44.64375,1.24625,556.8125,0.009313125,1.24640625
243185.0,0.87775,0.487375,0.004382,43.635000000000005,1.359,1239.15,0.0098635,0.655125
466655.00000000006,0.62125,0.416375,0.00443,25.725,1.3010000000000002,530.65,0.0066785,1.482875
396893.75,0.9478125,0.36296875,0.0040175,35.98125,0.14875,600.6875,0.004036875,0.59671875
307145.0,0.73375,0.480625,0.004246,37.335,0.207,1570.65,0.0085615,0.942125
328205.0,0.7342500000000001,0.256625,0.004026,27.255000000000003,1.535,1166.35,0.0099965,1.0873750000000002
173180.0,0.685,0.4995,0.0033439999999999,25.98,0.22,1479.0,0.005142,1.1355
376565.0,0.7827500000000001,0.384375,0.003822,35.085,0.547,1597.95,0.0048865,0.889625
148268.75,0.8803125,0.42140625,0.0031375,31.14375,0.52125,729.0625,0.004649375,0.3779687499999999
423755.0,0.62525,0.467875,0.001014,16.125,0.939,1045.45,0.0081275,1.892375
272435.0,0.87825,0.316375,0.001866,32.475,0.171,456.55,0.0044525,1.6088749999999998
203990.0,0.8915,0.40225,0.002692,32.91,1.794,1332.1,0.003889,1.25275
164990.0,0.5605,0.33375,0.003268,36.57,1.286,1285.3000000000002,0.004701,0.38475
374030.0,0.6895,0.38975,0.001764,35.910000000000004,1.722,484.5,0.003861,1.73575
130085.0,0.7152499999999999,0.437625,0.00329,40.605,0.309,1391.25,0.0077775,1.3498750000000002
399380.0,0.7989999999999999,0.3305,0.001152,23.700000000000003,0.684,1307.4,0.007214,1.2615
477965.0,0.76025,0.404625,0.00283,21.195,0.811,937.55,0.0079105,0.915875
290375.0,0.81075,0.460625,0.003934,38.055,1.1510000000000002,1370.4499999999998,0.0059645,1.827625
228950.0,0.5025,0.43925,0.004084,41.25,1.17,518.3,0.004631,1.98425
382610.0,0.5875,0.34475,0.0019,40.71,0.174,1287.9,0.005695,0.45125
217835.0,0.51325,0.467375,0.002798,15.285,0.507,745.1500000000001,0.0038365,1.3813750000000002
155581.25,0.8584375,0.33921875,0.0039125,22.78125,0.45625,768.0625,0.003826875,0.97515625
182150.0,0.7935,0.29625,0.001972,21.93,1.378,960.3,0.006969,0.26925
157531.25,0.9640625,0.34828125,0.0047425,22.81875,0.69125,1081.6875,0.004946875,0.99703125
305585.0,0.59125,0.297875,0.003322,26.475,0.505,678.85,0.0080225,1.057625
372275.00000000006,0.61575,0.310625,0.003474,38.175,1.1070000000000002,880.3499999999999,0.0048935,1.2571250000000005
479915.00000000006,0.99875,0.305625,0.004426,19.815,1.489,1404.25,0.0050965,1.857375
273410.0,0.7025,0.27125,0.002796,35.07,0.714,832.9000000000001,0.003175,0.40925
418295.0,0.78125,0.329375,0.004354,20.445,0.455,1409.4499999999998,0.0088695,1.397125
497806.25,0.7934375,0.34484375,0.0027974999999999,22.59375,1.76375,1045.9375,0.007668125,0.61421875
302318.75,0.7315625,0.39109375,0.0040575,28.14375,0.63375,1015.0625,0.009181875,1.59859375
235385.0,0.99725,0.300875,0.00365,16.665,0.173,1100.05,0.0068815,0.571125
434090.0,0.5325,0.42125,0.00386,18.99,0.538,1407.5,0.007697,0.31825
369545.0,0.92475,0.476625,0.003638,19.245,0.599,903.75,0.0065594999999999,1.181875
305195.0,0.76925,0.420875,0.00481,17.805,1.825,690.55,0.0054745,0.788125
212570.0,0.7925,0.38725,0.004324,24.33,1.614,910.9,0.008551,1.73925
438965.0,0.51925,0.481375,0.001218,15.435,0.335,914.15,0.0057895,1.251875
333470.0,0.7945,0.47025,0.00122,40.29,0.77,1012.3,0.007683,0.92725
445643.75,0.5178125,0.25109375,0.0043425,15.54375,1.33375,470.6875,0.003975625,0.67328125
430580.0,0.5609999999999999,0.4775,0.00384,28.74,1.62,569.0,0.00881,0.6455
224465.0,0.75375,0.357875,0.004382,34.155,1.987,568.35,0.0099895,1.069875
272045.0,0.88475,0.298375,0.003622,34.724999999999994,1.1669999999999998,1150.75,0.0099475,0.446875
238115.0,0.64375,0.332375,0.003154,33.795,0.975,837.45,0.0051245,1.195875
440281.25,0.8634375000000001,0.38046875,0.0042775,42.431250000000006,0.57375,1385.5625,0.004456875,1.95078125
174935.0,0.60775,0.265375,0.001338,16.485,0.907,1196.25,0.0087505,1.003375
349850.0,0.9125,0.44275,0.003764,40.47,1.166,1618.1,0.003287,1.90375
216665.0,0.56875,0.493875,0.004498,36.945,1.5670000000000002,686.65,0.0078475,0.929875
362330.0,0.5945,0.46975,0.002732,15.57,0.95,611.9,0.004113,1.52575
131255.0,0.78075,0.448125,0.003558,44.475,0.857,1586.2500000000002,0.0069585,1.839875
196043.75,0.5221875,0.36703125,0.0034025,26.981250000000003,0.71375,1091.4375,0.004806875,1.54171875
271460.0,0.513,0.4985,0.00296,18.54,1.1,1089.0,0.005562,0.4004999999999999
184343.75,0.5440625,0.33765625,0.0041525,42.16875,0.5387500000000001,595.8125,0.003450625,1.27265625
383243.75,0.5628124999999999,0.34359375,0.0035775,31.85625,1.51125,1164.5625,0.008805625,1.03640625
488690.0,0.7335,0.35675,0.002476,20.67,1.15,627.5,0.005331,0.32525
485375.0,0.54475,0.265625,0.002438,30.255,0.763,1621.35,0.0095905,1.7611249999999998
419465.00000000006,0.58525,0.362125,0.004918,34.485,0.587,1652.55,0.0081205,1.019125
442865.0,0.97375,0.342375,0.002686,42.105,1.517,1084.4499999999998,0.0040605,1.901125
303830.0,0.8965000000000001,0.33625,0.002204,26.13,1.71,1391.9,0.008831,0.76625
354140.0,0.881,0.3964999999999999,0.001568,15.3,0.348,491.0,0.009706,1.4365
246305.0,0.76625,0.486125,0.00433,44.145,0.845,1344.4499999999998,0.0097865,0.985875
